1-30-2013 20:51 GMT,
1-30-2013 21:51 GMT,
1-30-2013 22:51 GMT,
1-1-2013 15:11 GMT,"0,03"
1-30-2013 23:51 GMT,"0,03"
1-31-2013 0:51 GMT,"0,03"
1-31-2013 1:51 GMT,"0,03"
1-31-2013 2:51 GMT,
1-31-2013 3:28 GMT,
1-31-2013 3:51 GMT,
1-31-2013 4:51 GMT,"0,03"
1-31-2013 5:51 GMT,"0,13"
1-31-2013 6:51 GMT,"0,15"
1-31-2013 7:51 GMT,"0,18"
1-31-2013 8:35 GMT,"0,15"
1-31-2013 8:43 GMT,"0,36"
1-31-2013 8:51 GMT,"0,51"
1-31-2013 9:03 GMT,"0,15"
1-31-2013 9:14 GMT,"0,25"
1-31-2013 9:22 GMT,"0,81"
1-31-2013 9:24 GMT,"0,81"
1-31-2013 9:27 GMT,"0,84"
1-31-2013 9:51 GMT,"0,89"
1-31-2013 10:51 GMT,"0,23"
1-31-2013 11:45 GMT,"0,05"
1-31-2013 11:51 GMT,"0,18"
1-31-2013 11:58 GMT,"0,03"
1-31-2013 12:07 GMT,"0,03"
1-31-2013 12:51 GMT,"0,03"

